반도체,IT 서비스,전기와전자제품,디스플레이,하드웨어,에너지 장비 및 서비스,석유와 가스,에너지,전기유틸리티,가스유틸리티,복합유틸리티,독립 전력 생산 및 에너지 거래,유틸리티,전기통신 서비스,미디어와 엔터테인먼트,커뮤니케이션,식품과 기본 식료품 소매,음식료품,가정용품과 개인용품,은행,증권,다각화된 금융,보험,부동산,화학,포장재,비철금속,철강,종이와 목재,자본재,상업서비스와 공급품,운송,자동차와 부품,내구소비재와 의류,"호텔, 레스토랑, 레저 등",소매(유통),교육서비스,건강관리와 서비스,제약과 생물공학
네오셈,스코넥,엘앤에프,힘스,아이티엠반도체,,,,,,,,,,디앤씨미디어,,사조산업,인산가,,,,현대차증권,린드먼아시아,,세아홀딩스,무림P&P,,포스코스틸리온,인바이오,와이지-원,KTcs,동아지질,신원,신세계,디딤이앤에프,HL만도,,큐라티스,일양약품
유니퀘스트,디지아이,솔루스첨단소재,위지트,우주일렉트로,,,,,,,,,,웅진,,동서,우성,,,,동양생명,교보증권,,동국홀딩스,쎄노텍,,경남스틸,그린케미칼,도화엔지니어링,삼목에스폼,TPC,네오팜,한세예스24홀딩스,씨티알모빌리티,SG글로벌,,프리시젼바이오,씨엔알리서치
케이엔더블유,브레인즈컴퍼니,솔브레인홀딩스,우리엔터프라이즈,이엠텍,,,,,,,,,,에프엔씨엔터,,신라에스지,사조산업,,,,한국자산신탁,,,한솔케미칼,무림SP,,NI스틸,스타플렉스,비츠로테크,한국공항,남화토건,우리산업홀딩스,화신,디지털대성,경창산업,,HLB생명과학,동화약품
오로스테크놀로지,윤성에프앤씨,유티아이,일진디스플,옵티코어,,,,,,,,,,오리콤,,농심,신라에스지,,,,에이플러스에셋,,,케이피티유,케이디켐,,쎄니트,원일특강,자이에스앤디,SK,태영건설,이마트,세우글로벌,커넥트웨이브,화신,,플라즈맵,동아에스티
인텍플러스,오브젠,세코닉스,제이엠티,에스텍,,,,,,,,,,액토즈소프트,,선진,하이트진로홀딩스,,,,우리금융지주,,,한창제지,알루코,,광진실업,풍산,KSS해운,한진,화천기공,신세계,유니온머티리얼,강원랜드,세우글로벌,,대봉엘에스,얼라인드
알에프세미,이씨에스,노바텍,이엘피,모아데이타,,,,,,,,,,한빛소프트,,해태제과식품,팜스토리,,,,DGB금융지주,,,아세아제지,승일,,신스틸,백광산업,한국기업평가,팬스타엔터프라이즈,STX엔진,파세코,신영와코루,아이패밀리에스씨,메가엠디,,루트로닉,JW생명과학
에이디테크놀로지,핀텔,삼진,케이엔제이,엘디티,,,,,,,,,,데브시스터즈,,엠에스씨,SPC삼립,,,,리더스 기술투자,,,누보,티플랙스,,한국선재,금비,아스플로,제이오,웰크론,한세예스24홀딩스,디케이앤디,씨앤투스,신영와코루,,에이프로젠바이오로직스,싸이토젠
에이디칩스,비츠로시스,아비코전자,코텍,코콤,,,,,,,,,,콘텐트리중앙,,삼양사,농심홀딩스,,,,현대해상,,,대창스틸,락앤락,,부국철강,효성첨단소재,유신,HDC현대산업개발,엔케이,HL만도,한국화장품제조,코웰패션,인디에프,,제노레이,휴메딕스
아이텍,정원엔시스,코맥스,이라이콤,드림텍,,,,,,,,,,SM Life Design,,팜스토리,샘표,,,,DB금융투자,,,인바이오,삼양패키징,,세아홀딩스,삼아알미늄,롯데렌탈,강남제비스코,대양전기공업,SG글로벌,DH오토웨어,이퓨쳐,화승알앤에이,,광동제약,비피도
레이저쎌,웨이버스,나인테크,디에스케이,서원인텍,,,,,,,,,,쇼박스,,진로발효,DSEN,,,,미래에셋증권,,,그린케미칼,무림페이퍼,,동국홀딩스,황금에스티,광명전기,동양고속,GS글로벌,경창산업,오로라,유니켐,태원물산,,콜마비앤에이치,테라젠이텍스
